"Dia Mês da Notific";"Água Rasa";"Alto de Pinheiros";"Anhangüera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jacanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Angela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Mooca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Total"
"12/05";7;3;3;9;10;3;13;4;1;2;26;3;11;3;13;6;30;15;48;9;5;45;28;16;36;6;16;10;13;57;22;16;16;19;27;27;44;19;6;7;13;45;13;23;42;16;21;5;10;9;12;-;34;11;17;24;-;12;29;7;18;12;11;21;11;9;7;15;30;15;12;18;8;16;19;9;14;36;20;4;2;18;22;10;46;25;9;3;14;5;22;24;11;6;21;22;1562
"13/05";5;8;5;6;10;5;8;10;2;3;34;10;18;1;4;14;41;14;59;7;11;47;22;26;31;2;14;9;25;51;13;11;11;13;45;32;27;17;2;5;14;50;18;18;40;20;26;9;9;7;7;1;16;12;24;17;1;12;13;19;11;12;9;8;8;14;8;27;37;7;10;10;6;10;27;16;29;40;27;2;2;14;31;16;45;27;12;5;16;4;7;24;12;4;14;14;1576
"14/05";12;13;6;18;18;4;8;4;8;2;29;13;20;9;11;10;47;16;45;9;9;42;27;17;30;22;13;19;20;51;11;26;10;55;42;35;44;9;6;9;13;61;19;32;31;19;25;5;4;12;6;1;26;22;29;20;11;8;33;22;25;7;22;14;6;25;6;23;28;14;12;13;9;17;26;14;11;40;17;2;5;15;22;12;76;12;7;6;26;13;4;37;6;16;16;25;1827
"15/05";10;7;7;12;16;5;14;1;1;3;43;3;19;2;5;12;29;15;54;12;7;35;32;18;27;18;17;17;21;36;20;19;15;11;28;37;35;8;4;9;13;53;20;13;35;24;22;8;8;12;11;1;16;10;22;17;2;14;13;14;10;10;7;17;13;28;5;21;21;6;6;13;6;7;18;17;32;37;14;2;3;7;33;8;28;22;7;3;22;4;8;22;16;18;15;25;1543
"16/05";4;5;4;18;11;-;6;3;3;-;9;4;11;-;2;11;19;7;9;9;1;19;19;8;10;3;9;6;12;35;8;9;6;5;21;16;7;5;2;7;7;29;10;12;21;9;6;4;2;6;1;1;5;6;7;15;-;2;14;8;4;3;6;6;7;10;6;4;10;3;7;12;2;4;10;8;14;12;6;-;-;9;13;3;22;10;3;5;10;7;8;7;4;3;3;8;757
"17/05";1;-;2;2;3;-;-;1;-;-;5;-;4;-;1;1;13;2;20;2;-;9;5;9;8;3;4;1;4;16;1;9;4;-;5;4;7;4;-;-;4;14;6;2;13;3;1;2;2;2;3;-;1;1;4;8;1;3;5;7;-;6;2;4;3;7;1;-;3;-;2;2;1;3;7;1;10;13;5;-;1;-;1;3;15;5;1;1;3;-;5;4;1;5;2;3;352
"18/05";6;12;7;11;18;4;12;10;-;4;62;2;20;6;9;21;32;21;47;5;9;59;28;28;44;20;16;25;18;54;34;24;12;25;37;39;52;16;1;6;29;38;16;23;51;19;33;5;7;14;12;1;25;16;27;15;-;8;14;20;17;15;15;18;25;19;6;23;29;13;4;11;11;23;31;11;30;42;15;4;4;9;30;6;64;24;13;10;23;3;19;23;21;19;15;16;1890
"19/05";24;9;8;17;13;5;16;6;4;3;51;23;21;3;7;22;44;21;56;17;8;43;18;29;36;27;22;21;23;82;22;27;16;32;35;39;67;13;5;8;53;74;26;19;52;21;29;19;9;12;13;-;34;13;32;22;3;18;28;17;21;14;13;25;19;18;11;21;31;13;7;19;32;13;32;18;26;74;19;4;9;31;28;5;40;31;16;8;17;3;12;35;9;14;24;28;2177
"20/05";10;2;7;9;23;5;4;10;7;-;32;5;23;3;11;12;42;17;58;13;11;46;35;23;33;31;11;22;14;69;18;19;11;31;38;32;76;13;4;15;32;60;19;12;72;16;25;8;10;17;5;-;19;7;17;38;3;14;22;21;13;18;9;22;15;21;2;25;28;8;7;13;15;10;27;14;25;52;13;1;4;10;25;10;46;21;8;8;28;7;12;15;9;16;19;19;1857
"21/05";7;6;7;11;28;3;14;21;7;10;28;9;14;5;5;10;52;28;88;8;9;59;26;19;26;51;14;22;11;62;16;19;14;29;34;32;56;16;4;15;28;73;15;11;69;14;27;6;6;9;2;-;14;5;10;50;-;13;22;17;7;16;4;26;14;19;8;24;13;12;11;12;38;25;30;15;24;40;15;2;3;10;36;7;42;15;7;9;27;5;16;17;18;10;16;18;1897
"22/05";8;5;14;13;21;7;10;7;5;7;49;9;21;9;11;21;43;42;66;5;7;42;26;17;24;22;14;21;23;72;35;32;15;18;46;54;61;18;3;12;43;95;24;23;73;32;37;15;8;9;8;2;23;5;26;20;5;18;20;19;12;19;7;29;14;7;7;29;25;9;14;17;22;22;34;19;31;54;20;-;6;9;33;4;75;28;12;3;30;8;18;35;16;25;21;28;2182
"23/05";1;4;3;2;15;3;7;3;3;-;10;4;7;1;8;11;22;12;31;9;6;17;21;15;11;8;4;4;14;38;11;15;13;10;19;20;32;6;3;2;19;47;20;16;45;8;6;4;3;3;3;-;14;7;11;7;6;3;14;17;10;9;5;15;7;5;7;11;21;3;5;7;6;8;13;4;17;16;3;3;-;5;11;4;27;12;1;2;14;6;8;27;9;7;6;9;1001
"24/05";5;1;3;5;11;2;1;2;3;1;8;2;8;1;2;3;13;15;30;-;1;9;7;8;5;2;2;7;2;15;8;11;2;6;5;14;10;4;-;4;7;33;5;4;21;7;5;3;1;4;4;1;1;2;-;5;1;6;5;2;2;9;1;5;7;1;1;1;6;-;1;1;2;5;11;3;11;12;4;-;2;3;4;4;9;9;3;1;6;1;5;8;10;11;1;2;517
